,num_scooters,startdate,weekday
0,6962,2019-05-25,Saturday
1,5742,2019-05-26,Sunday
2,5679,2019-06-08,Saturday
3,5478,2019-06-01,Saturday
4,5392,2019-05-18,Saturday
5,5055,2019-05-04,Saturday
6,4441,2019-06-02,Sunday
7,4189,2019-05-24,Friday
8,4036,2019-06-23,Sunday
9,3896,2019-05-05,Sunday
10,3877,2019-06-22,Saturday
11,3832,2019-05-17,Friday
12,3828,2019-06-15,Saturday
13,3766,2019-05-11,Saturday
14,3668,2019-06-21,Friday
15,3660,2019-05-27,Monday
16,3659,2019-06-06,Thursday
17,3579,2019-05-19,Sunday
18,3508,2019-05-31,Friday
19,3490,2019-05-03,Friday
20,3366,2019-05-12,Sunday
21,3359,2019-05-10,Friday
22,3283,2019-06-09,Sunday
23,3207,2019-06-16,Sunday
24,3182,2019-05-06,Monday
25,3088,2019-06-14,Friday
26,3075,2019-05-16,Thursday
27,3052,2019-06-05,Wednesday
28,2921,2019-06-07,Friday
29,2852,2019-05-07,Tuesday
30,2747,2019-06-03,Monday
31,2731,2019-05-08,Wednesday
32,2622,2019-05-14,Tuesday
33,2598,2019-06-04,Tuesday
34,2581,2019-06-28,Friday
35,2544,2019-05-23,Thursday
36,2495,2019-05-13,Monday
37,2487,2019-05-28,Tuesday
38,2462,2019-05-22,Wednesday
39,2423,2019-05-20,Monday
40,2406,2019-05-15,Wednesday
41,2360,2019-05-30,Thursday
42,2345,2019-05-01,Wednesday
43,2328,2019-05-09,Thursday
44,2305,2019-05-21,Tuesday
45,2280,2019-06-17,Monday
46,2257,2019-06-29,Saturday
47,2183,2019-06-19,Wednesday
48,2153,2019-05-29,Wednesday
49,2086,2019-07-27,Saturday
50,2011,2019-06-13,Thursday
51,2003,2019-05-02,Thursday
52,1999,2019-06-25,Tuesday
53,1986,2019-06-26,Wednesday
54,1961,2019-06-10,Monday
55,1916,2019-06-20,Thursday
56,1909,2019-07-20,Saturday
57,1804,2019-06-12,Wednesday
58,1767,2019-06-11,Tuesday
59,1755,2019-07-13,Saturday
60,1749,2019-07-06,Saturday
61,1741,2019-07-05,Friday
62,1725,2019-07-28,Sunday
63,1661,2019-06-27,Thursday
64,1644,2019-07-26,Friday
65,1598,2019-06-30,Sunday
66,1594,2019-07-19,Friday
67,1593,2019-06-18,Tuesday
68,1586,2019-07-04,Thursday
69,1569,2019-06-24,Monday
70,1529,2019-07-14,Sunday
71,1421,2019-07-21,Sunday
72,1255,2019-07-12,Friday
73,1202,2019-07-29,Monday
74,1172,2019-07-25,Thursday
75,1101,2019-07-01,Monday
76,1094,2019-07-30,Tuesday
77,1088,2019-07-18,Thursday
78,1077,2019-07-24,Wednesday
79,1046,2019-07-31,Wednesday
80,999,2019-07-17,Wednesday
81,982,2019-07-03,Wednesday
82,972,2019-07-15,Monday
83,952,2019-07-11,Thursday
84,951,2019-07-02,Tuesday
85,944,2019-07-22,Monday
86,920,2019-07-16,Tuesday
87,898,2019-07-23,Tuesday
88,856,2019-07-07,Sunday
89,793,2019-07-08,Monday
90,688,2019-07-09,Tuesday
91,668,2019-07-10,Wednesday
